Ch1 Amplitude,Ch2 Amplitude,Cluster
1035.534,688.779053,1
1039.40076,698.9537,1
1047.7771,745.900757,1
1048.43164,735.127869,1
1048.76184,738.7894,1
1049.897,678.364136,1
1050.636,770.142,1
1051.91125,753.7352,1
1052.2356,699.712646,1
1052.4729,642.153137,1
1052.9447,699.666,1
1053.57642,702.552734,1
1053.97339,714.001343,1
1054.23621,704.2259,1
1054.33655,743.1458,1
1054.42542,755.455261,1
1054.85925,748.565857,1
1056.21033,718.998352,1
1056.24182,717.4627,1
1056.466,737.300232,1
1057.81433,632.1267,1
1059.09058,698.2268,1
1059.51672,711.037048,1
1059.53,710.485,1
1059.76868,735.8507,1
1060.1449,666.6226,1
1060.20349,706.1659,1
1060.3114,739.6618,1
1060.62073,740.232849,1
1061.25244,709.6861,1
1061.629,756.271362,1
1061.71057,751.0952,1
1062.05811,696.5397,1
1062.22021,706.3928,1
1062.226,709.0197,1
1062.44958,702.6503,1
1063.74634,750.8249,1
1063.87366,690.605164,1
1063.9386,729.195,1
1064.4386,713.6776,1
1064.47778,744.6692,1
1064.59,715.0594,1
1064.73145,759.7565,1
1064.80481,649.3398,1
1064.9115,724.0566,1
1064.92932,722.357239,1
1064.99487,714.9797,1
1065.911,748.32666,1
1065.9707,737.6294,1
1065.98792,709.403,1
1066.2,720.777039,1
1066.302,736.408,1
1066.35107,792.712158,1
1066.46985,708.7071,1
1066.825,713.3235,1
1066.83508,750.692566,1
1067.10278,719.5449,1
1067.15479,708.0276,1
1067.20239,746.5307,1
1067.24182,723.9521,1
1067.34229,690.5059,1
1067.52747,691.88855,1
1067.65674,679.350769,1
1067.74744,704.249146,1
1068.11462,706.129639,1
1068.639,700.918,1
1068.72974,719.753235,1
1068.96008,728.3905,1
1069.26392,710.9282,1
1069.86243,731.5313,1
1069.91345,726.8587,1
1070.04858,693.0043,1
1070.11768,687.402344,1
1070.45959,686.820557,1
1070.56543,704.8596,1
1070.78625,684.549866,1
1071.11975,718.219238,1
1071.35059,715.976135,1
1071.37683,703.3414,1
1071.4469,644.904,1
1071.59985,719.874451,1
1071.60681,711.9351,1
1071.7262,722.6014,1
1071.913,664.526855,1
1071.92493,662.8448,1
1072.23328,727.979431,1
1072.28516,710.1509,1
1072.37463,676.450439,1
1072.64063,673.9336,1
1072.79443,683.785034,1
1073.0769,713.1189,1
1073.27466,705.5174,1
1073.417,729.3848,1
1073.60315,715.5074,1
1073.61426,738.8421,1
1073.64563,740.3092,1
1073.81873,691.7839,1
1073.93884,709.8888,1
1074.025,727.0498,1
1074.3335,698.1264,1
1074.34814,699.5757,1
1074.4281,732.6616,1
1074.62988,672.6633,1
1074.639,700.946533,1
1074.68213,778.1511,1
1074.73181,682.3197,1
1075.01111,705.5033,1
1075.12146,720.7333,1
1075.30676,704.1108,1
1075.32642,721.291,1
1075.33667,732.890564,1
1075.35327,748.897339,1
1075.35986,669.6452,1
1075.40881,710.792969,1
1075.44177,709.4859,1
1075.56226,684.568665,1
1075.57764,672.6206,1
1075.5885,618.040161,1
1075.72046,695.260559,1
1075.83093,742.5114,1
1076.041,724.801636,1
1076.07678,750.011536,1
1076.33984,711.5387,1
1076.62122,686.0951,1
1076.85779,751.7608,1
1076.89551,743.8551,1
1076.987,712.0959,1
1077.1272,700.2341,1
1077.293,719.59,1
1077.30908,759.318359,1
1077.33044,673.40094,1
1077.38489,736.6407,1
1077.41418,684.1169,1
1077.59448,734.0305,1
1077.72278,761.330933,1
1077.72827,715.092346,1
1077.92468,731.0044,1
1078.04089,693.37854,1
1078.06909,709.7229,1
1078.14514,709.422668,1
1078.15833,740.9975,1
1078.37634,706.228943,1
1078.423,721.035645,1
1078.517,705.603333,1
1078.5509,689.0748,1
1078.61938,718.135864,1
1078.715,706.2724,1
1079.04272,665.290955,1
1079.21875,713.226257,1
1079.21924,704.6244,1
1079.2876,704.2503,1
1079.364,750.804138,1
1079.37488,693.556,1
1079.45276,699.8936,1
1079.4762,716.172058,1
1079.53943,707.6515,1
1079.59106,748.4603,1
1079.62256,695.7837,1
1079.75513,683.7288,1
1079.88672,700.322754,1
1079.88928,726.061,1
1079.90771,718.085632,1
1080.03528,717.307861,1
1080.14539,716.830933,1
1080.209,719.2046,1
1080.27319,732.9232,1
1080.31177,666.727051,1
1080.36877,736.5837,1
1080.36951,697.9384,1
1080.45825,671.349854,1
1080.50781,756.3442,1
1080.55212,695.3883,1
1080.77686,712.6848,1
1080.91492,730.7238,1
1080.92712,676.9166,1
1080.96484,696.049866,1
1081.01282,703.3562,1
1081.08337,634.5187,1
1081.11975,684.119751,1
