Ch1 Amplitude,Ch2 Amplitude,Cluster
1067.96082,758.1522,1
1073.55383,649.0198,1
1075.73779,730.6779,1
1076.99182,697.827454,1
1082.18591,763.059,1
1083.26831,653.866455,1
1084.95728,733.3063,1
1085.77881,754.012268,1
1085.88818,710.6353,1
1086.09949,3591.46362,4
1086.63843,712.702942,1
1086.859,738.242432,1
1087.45422,737.014648,1
1088.00427,685.7074,1
1088.72485,697.639954,1
1088.79858,734.642456,1
1089.43921,724.9065,1
1090.38843,742.1456,1
1091.20825,726.868469,1
1091.71387,729.1374,1
1092.11,699.8213,1
1092.403,740.0276,1
1092.40833,727.145935,1
1092.52991,693.9948,1
1093.1366,718.3299,1
1093.40588,755.7918,1
1093.57532,727.088257,1
1093.9707,757.9459,1
1094.152,793.7298,1
1094.59851,711.6777,1
1094.61072,705.3424,1
1095.72107,728.038,1
1095.939,718.562256,1
1096.05359,771.404846,1
1096.19336,717.8082,1
1096.24219,744.7516,1
1096.89319,721.9372,1
1097.00269,731.908936,1
1097.9292,746.4833,1
1098.75354,770.850159,1
1099.4552,755.5593,1
1099.75574,703.934265,1
1100.22424,698.269958,1
1100.60669,771.387451,1
1100.63977,734.779053,1
1101.09277,754.4017,1
1101.57947,700.2763,1
1101.73425,685.4646,1
1101.7937,765.549133,1
1102.15491,712.927063,1
1102.28552,763.855469,1
1102.52148,3511.13721,4
1102.9292,731.506042,1
1102.93567,730.925354,1
1102.96423,755.9066,1
1103.09326,763.4553,1
1103.25049,739.4304,1
1103.25366,714.911133,1
1103.64514,697.8642,1
1103.71973,751.638733,1
1104.0033,740.76886,1
1104.0166,721.129333,1
1104.372,690.200867,1
1104.38123,743.6912,1
1104.47156,720.480957,1
1104.63025,750.2989,1
1104.80347,701.1938,1
1104.98083,703.629,1
1105.09912,720.1851,1
1105.11743,732.5723,1
1105.43738,706.381348,1
1105.44421,729.6428,1
1105.58936,764.57,1
1105.68237,758.281,1
1105.72192,745.8574,1
1105.80737,702.6113,1
1105.86987,692.0952,1
1105.88062,757.9976,1
1105.94678,742.483459,1
1106.072,726.2376,1
1106.31226,734.8847,1
1106.4054,743.7719,1
1106.42322,713.29364,1
1106.46167,748.206055,1
1106.60156,730.3412,1
1106.65491,688.2843,1
1106.71008,731.1977,1
1106.801,709.087158,1
1106.80261,737.3321,1
1106.90125,693.4175,1
1106.98071,726.0525,1
1106.98486,753.1081,1
1106.99573,725.1069,1
1107.202,750.975647,1
1107.22937,749.4996,1
1107.25928,695.2539,1
1107.49792,753.603149,1
1107.50159,717.3427,1
1107.51147,745.6538,1
1107.73584,772.9224,1
1107.80188,704.5663,1
1107.82959,709.7585,1
1107.98608,665.927246,1
1108.0188,756.469666,1
1108.2312,735.5798,1
1108.24451,731.709045,1
1108.42871,706.0021,1
1108.49268,732.0178,1
1108.5,706.4036,1
1108.61841,758.2845,1
1108.78748,720.361145,1
1108.85242,679.4236,1
1108.87122,681.568237,1
1109.06982,718.6031,1
1109.106,750.8229,1
1109.19482,732.4179,1
1109.27356,681.1039,1
1109.51672,781.006531,1
1109.57056,724.714661,1
1109.58789,727.675964,1
1109.59216,714.2257,1
1109.74377,740.955,1
1109.94556,761.4442,1
1110.01953,708.9168,1
1110.11145,713.697937,1
1110.30139,747.3381,1
1110.42725,753.6016,1
1110.44043,666.277832,1
1110.50562,747.3232,1
1110.53833,714.251343,1
1110.72314,755.7471,1
1110.83789,758.742737,1
1110.89929,768.795532,1
1111.05835,700.905151,1
1111.08423,738.141663,1
1111.08521,747.7853,1
1111.10669,755.50354,1
1111.17456,743.939,1
1111.34619,736.927246,1
1111.36609,722.5971,1
1111.435,747.141,1
1111.44336,708.167053,1
1111.66541,722.696167,1
1111.81506,760.933655,1
1111.83252,3777.37183,4
1111.83838,744.0688,1
1111.84888,711.2191,1
1112.10718,747.510254,1
1112.15735,768.773254,1
1112.17212,689.417969,1
1112.17358,716.9938,1
1112.17847,732.0169,1
1112.18787,683.8685,1
1112.26477,799.6298,1
1112.28711,778.0667,1
1112.30322,718.6846,1
1112.363,729.7507,1
1112.43726,730.875732,1
1112.48767,749.721252,1
1112.56116,724.033142,1
1112.612,719.0117,1
1112.8,711.738342,1
1112.84338,782.362,1
1112.87537,772.037,1
1113.09229,744.481445,1
1113.17688,734.1733,1
1113.19324,648.447937,1
1113.20764,710.8013,1
1113.25293,712.1757,1
1113.27844,732.428467,1
1113.39612,712.8018,1
1113.44568,734.076233,1
1113.46838,3666.59277,4
1113.544,703.7871,1
1113.60193,754.445251,1
1113.622,759.465149,1
1113.82483,806.2023,1
1113.8905,764.532654,1
1113.89587,766.0637,1
1113.95044,688.989441,1
1114.03064,725.817749,1
1114.11926,767.516357,1
1114.20483,690.381348,1
1114.20483,701.7247,1
1114.24414,726.3326,1
1114.499,705.5757,1
1114.65088,694.695,1
1114.71606,718.148743,1
1114.73364,718.349854,1
1114.73608,711.573242,1
1114.74,729.3977,1
1114.87463,714.2957,1
1115.05408,732.1498,1
1115.1488,703.2387,1
1115.17419,741.146851,1
1115.24341,758.2449,1
1115.32922,761.7717,1
1115.51062,744.321167,1
1115.53882,698.2388,1
1115.61426,729.438049,1
