Ch1 Amplitude,Ch2 Amplitude,Cluster
48.0102768,722.4134,1
1040.677,3638.477,4
1043.08533,3623.35254,4
1044.30908,3641.41431,4
1052.29858,3636.7998,4
1053.25562,3726.15332,4
1055.83728,3643.08936,4
1058.66272,3776.70972,4
1060.56982,3661.08521,4
1060.59387,3640.25122,4
1063.02478,3627.41626,4
1063.39709,3664.3396,4
1064.7373,3708.64868,4
1064.75269,3674.64087,4
1066.62878,3781.10742,4
1066.78906,3679.61938,4
1068.92444,3646.617,4
1068.98254,3580.37354,4
1069.40625,3535.06274,4
1070.42163,3676.31763,4
1070.7052,3488.47363,4
1070.81372,3816.068,4
1071.56238,3678.4646,4
1071.64673,3702.17627,4
1072.68762,3654.554,4
1072.96912,3631.53149,4
1073.61719,3718.44067,4
1073.61963,3605.87036,4
1074.01685,3661.25317,4
1074.23157,3592.89331,4
1074.26733,3672.52441,4
1075.07776,3527.1394,4
1075.48376,3560.7373,4
1076.28308,3602.48438,4
1076.59277,3707.35449,4
1076.66357,3617.40186,4
1077.50781,3659.72119,4
1078.291,3754.067,4
1078.49023,3721.422,4
1078.93152,3628.15552,4
1079.49341,3646.83862,4
1079.54553,3690.831,4
1079.77661,3673.62817,4
1080.02832,3653.30444,4
1080.49719,3538.81079,4
1080.72229,3715.05469,4
1081.08936,3793.44214,4
1081.44177,3648.79639,4
1081.65747,3574.69946,4
1082.1936,3658.27734,4
1082.57617,3647.58936,4
1083.019,3654.66943,4
1083.866,3476.31934,4
1084.06616,3659.39526,4
1086.15112,3682.02051,4
1086.25085,3642.768,4
1086.52539,3562.292,4
1086.67285,3763.24146,4
1087.42847,3632.73315,4
1087.45728,3630.53052,4
1087.53369,3598.74121,4
1087.54944,3670.15161,4
1087.55286,3678.24927,4
1087.79407,3659.34,4
1088.05542,3570.13428,4
1088.11877,3732.90942,4
1088.119,3725.802,4
1088.20459,3836.14722,4
1088.30029,3635.12915,4
1089.08594,3606.43335,4
1089.19629,3646.31982,4
1089.39453,3799.74756,4
1089.52368,3612.0957,4
1089.53259,3582.863,4
1089.75952,3619.075,4
1089.79065,3881.43726,4
1089.962,3537.57275,4
1090.08179,3625.25146,4
1090.301,3576.543,4
1090.48511,3776.764,4
1090.88782,3535.90479,4
1091.46436,3663.30859,4
1091.69763,3541.10083,4
1091.81824,3710.34766,4
1092.09131,3667.365,4
1092.20081,3519.24951,4
1093.0791,3607.77637,4
1093.32166,3657.75635,4
1093.40637,3700.98047,4
1093.92932,3673.592,4
1094.5957,3632.29272,4
1095.05713,3701.90112,4
1095.13416,3670.79,4
1095.20251,3604.288,4
1095.796,3650.595,4
1095.938,3587.564,4
1096.30664,3554.75024,4
1096.30786,3606.73462,4
1096.98181,3517.53442,4
1097.01343,3725.5813,4
1097.14783,3653.21777,4
1097.27734,3853.50854,4
1097.29175,3620.73267,4
1097.37317,3566.98633,4
1097.87732,3656.94336,4
1098.3374,3783.26636,4
1098.67749,3571.04761,4
1098.76685,3788.67773,4
1098.88721,3770.236,4
1098.91333,3628.43579,4
1098.96729,3718.43384,4
1099.03357,3507.89355,4
1099.58264,686.9232,1
1099.60181,3639.95361,4
1100.4574,3691.37036,4
1100.60352,3662.6228,4
1100.66589,3620.81372,4
1100.99536,3703.62354,4
1101.27124,3613.90259,4
1101.374,3735.13135,4
1101.57507,3596.51782,4
1101.6925,3597.3335,4
1102.01575,3687.08325,4
1102.16138,3504.72534,4
1102.30469,3647.47534,4
1102.31555,3716.99731,4
1102.38318,3746.76172,4
1102.51343,3753.42749,4
1102.55347,3707.43286,4
1102.57007,3607.95361,4
1102.61621,3548.46777,4
1102.65869,3589.87476,4
1102.67188,3638.877,4
1102.82007,3853.39136,4
1103.1344,3649.685,4
1103.18713,3673.94165,4
1103.22729,3705.78735,4
1103.38477,3672.90625,4
1104.29041,3716.447,4
1104.3728,3751.29688,4
1104.41748,3511.26074,4
1104.4812,3695.46216,4
1104.661,3598.45776,4
1104.95862,3660.4082,4
1105.17908,3682.28784,4
1105.552,3602.795,4
1105.61108,3602.31274,4
1105.74939,3728.14087,4
1106.00684,3631.65649,4
1106.124,3719.57739,4
1106.147,3746.64771,4
1106.27893,3538.45972,4
1106.49609,3677.684,4
1106.58777,3691.11182,4
1107.004,3560.78735,4
1107.285,3797.11255,4
1107.3075,3678.69629,4
1107.31726,3560.54224,4
1107.58826,3917.17114,4
1107.823,3717.426,4
1107.97375,3674.9314,4
1108.12854,3546.51978,4
1108.34106,3669.84,4
1108.371,3473.16821,4
1108.40479,3591.84033,4
1108.52173,3717.56519,4
1108.66882,3700.177,4
1108.87964,3764.431,4
1109.01367,3775.58081,4
1109.0365,3646.91772,4
1109.05627,3635.803,4
1109.16052,3608.033,4
1109.22229,3695.38574,4
1109.22571,3573.34424,4
1109.22644,3544.949,4
1109.26733,3606.85449,4
1109.3866,3550.36841,4
1109.53027,3631.852,4
1109.58276,3687.11353,4
1109.64307,3583.82935,4
1109.83887,3655.74585,4
1110.22339,3773.98047,4
1110.40881,3826.34033,4
1110.49854,3707.269,4
1110.558,3731.51831,4
1110.59033,3672.3855,4
1110.66821,3570.52222,4
1110.96875,3516.93872,4
1111.03931,3681.87744,4
1111.071,3503.52246,4
1111.08618,3590.99756,4
1111.12122,3620.56714,4
1111.15747,3709.04932,4
1111.48694,3702.69556,4
1112.001,3591.38525,4
1112.21521,3597.749,4
1112.25781,3625.42651,4
1112.29065,3641.11475,4
1112.36133,3602.088,4
1112.448,3539.815,4
1112.5271,3645.98584,4
1112.67944,3698.829,4
1112.90259,3598.78564,4
1113.01843,737.330933,1
1113.16406,3781.1416,4
1113.41162,3906.96216,4
1113.546,3662.079,4
1113.77161,3679.09326,4
1114.22461,3624.32935,4
1114.42566,3681.08228,4
1114.47424,3677.61133,4
1114.5321,3695.055,4
1115.22131,3654.37,4
1115.23364,3633.12134,4
1115.24744,3637.3916,4
1115.534,3680.12671,4
1115.55579,3710.41431,4
1115.59485,3652.60864,4
1115.59656,3625.16064,4
1115.605,3561.07031,4
1115.7168,3774.36255,4
1115.75244,3603.12549,4
1115.7782,3517.67749,4
