Ch1 Amplitude,Ch2 Amplitude,Cluster
1039.0625,742.902466,1
1049.69678,715.5349,1
1050.02075,730.5116,1
1050.14343,748.4716,1
1051.30273,738.160461,1
1054.79956,695.065,1
1055.71313,735.3826,1
1057.47009,727.822754,1
1058.82117,701.8705,1
1059.05347,710.9264,1
1060.81165,692.082153,1
1062.09814,757.677,1
1062.42285,759.4666,1
1064.09814,668.1328,1
1064.29956,735.4814,1
1064.36182,719.3173,1
1065.80457,735.856,1
1066.29309,742.7764,1
1066.66455,742.9625,1
1066.92029,764.7404,1
1066.95251,725.6407,1
1068.0282,726.484863,1
1068.18982,728.436,1
1068.27686,658.3595,1
1068.55994,699.914246,1
1068.88953,713.220764,1
1069.11621,664.790161,1
1069.4873,722.3341,1
1070.205,799.8748,1
1070.20837,757.206055,1
1070.40186,713.934143,1
1070.51636,680.0875,1
1071.29663,599.0159,1
1071.57312,810.1295,1
1071.82544,723.4112,1
1072.27051,687.5609,1
1072.50049,734.42,1
1072.7002,689.3191,1
1072.711,720.0842,1
1072.8125,704.7356,1
1073.1073,701.3724,1
1073.1969,717.437866,1
1073.50525,720.4465,1
1073.71545,683.2439,1
1074.09338,726.6658,1
1074.32935,704.9629,1
1074.621,740.739,1
1074.96082,691.9471,1
1074.97046,697.071533,1
1075.22278,697.244446,1
1075.404,729.6775,1
1075.62671,701.3646,1
1075.77783,744.3479,1
1075.96838,707.734253,1
1076.06848,681.0537,1
1076.2207,745.5996,1
1076.44873,702.6333,1
1076.55908,715.893555,1
1076.7063,723.7271,1
1076.791,643.818054,1
1077.18518,711.755859,1
1077.43884,739.582153,1
1077.45386,698.037659,1
1077.49683,717.9476,1
1077.56665,741.2043,1
1077.61426,678.809,1
1077.65527,691.7967,1
1077.81921,717.377869,1
1077.85645,724.8412,1
1078.38647,721.8125,1
1078.50586,669.7399,1
1078.77515,718.7719,1
1078.77625,735.027039,1
1078.978,676.4774,1
1079.038,646.699768,1
1079.12891,709.2319,1
1079.22729,717.728455,1
1079.29175,677.71936,1
1079.52063,712.5527,1
1079.90027,718.2827,1
1079.935,762.754,1
1080.0332,721.3086,1
1080.12915,737.0789,1
1080.58191,760.7054,1
1081.147,740.7973,1
1081.3822,688.464966,1
1081.40588,707.430359,1
1081.459,718.409546,1
1081.87842,726.2684,1
1081.95239,660.888,1
1082.293,715.611755,1
1082.40686,728.810852,1
1082.41357,761.7613,1
1082.43848,673.840637,1
1082.77979,712.4083,1
1082.98218,663.5655,1
1083.02734,730.4194,1
1083.35046,670.141052,1
1083.40356,686.050049,1
1083.43823,697.7635,1
1083.54968,695.218933,1
1083.551,678.478,1
1083.56384,712.9627,1
1083.6062,728.0989,1
1083.81213,750.232056,1
1083.9447,668.952637,1
1083.98682,671.2175,1
1084.05383,698.301147,1
1084.11719,682.6713,1
1084.30859,737.832,1
